claim_id,manuscript_location,claim_text,benchmark,protocol,model,metric,value_in_text,source_artifact,value_in_artifact,status,required_fix
C011,PAPER_DRAFT_v1.tex:1217 + tables/mvtec3d_patchcore_*.tex,"\methodplus{} is not applicable [under canonical one-class] because the supervised boosted head has no anomaly gradient",MVTec 3D-AD,PatchCore canonical one-class,rga_boosted_fusion,(PR_AUC ECE Brier),0.7835 / 0.7835 / 0.7835,experiments/fusion/mvtec3d_patchcore_results.json,0.7835 / 0.7835 / 0.7835,P0 FATAL (ESCALATED Phase 0.5; retained Phase 0.6): three identical values; PR=0.7835 incompatible with prevalence 0.2244 and pos_label=1 (constant predictor should give AP near 0.2244 not 0.7835); root cause unknown.,Block all canonical PR/ECE/Brier claims until src/scripts/audit_canonical_label_semantics.py identifies cause; replace canonical PR/ECE/Brier figures with 'pending semantics audit'; do not suppress to n/a without finding cause.
C012,PAPER_DRAFT_v1.tex:104,"random forest 0.500 static attention 0.542 on MVTec 3D-AD canonical",MVTec 3D-AD,canonical one-class,random_forest / static_attention,roc_auc,(0.500 / 0.542),experiments/fusion/mvtec3d_patchcore_results.json,(0.500 / 0.491),DRIFTED + SOURCE MISMATCH: 0.542 likely from image-statistic canonical run; PatchCore canonical JSON has 0.491,Identify which canonical run abstract refers to; cite correct JSON; bring number into alignment with audited-reanalysis source.
C013,PAPER_DRAFT_v1.tex:2040-2058,"interventional ATE under a Structural Causal Model where per-domain scores influence per-domain reliability which in turn influences the fused prediction; do(r_d = bar_r_d^val)",all,clean,rga_attention,ATE,(varies),src/uais/fusion/attention/causal_attribution.py,model-response sensitivity (deployer controls r_d),OVERCLAIM: experiment is model-response intervention not real-world causal identification,Rename subsection 'Model-Response Sensitivity to Per-Domain Reliability'; drop do() and SCM language; reframe as counterfactual model-response sensitivity; move Double-ML formulation to appendix or remove.
C014,PAPER_DRAFT_v1.tex:71-105 + 191 + 820,"Baseline list: 'random forest early-fusion MLP late-fusion ensemble Tent and TTT score adapters static attention'",all,clean,baselines,roster,5-method-roster,src/uais/fusion/attention/baselines.py + tables/milestone2_cross_benchmark.tex,7-method-roster (RF MLP LFE Tent TTT EATA SAR),DRIFTED: EATA SAR run and reported in tables but not listed in abstract/methods,Add EATA SAR to abstract baseline list and §I.B contributions; descriptive baseline ranking table for audited reanalysis; no 'best-of-baselines' confirmatory framing.
C015,PAPER_DRAFT_v1.tex:71-72,Abstract attributes 'best non-router' to Tent (0.735),MVTec 3D-AD,PatchCore SP,best non-router,roc_auc_mean,Tent 0.735,experiments/fusion/mvtec3d_patchcore_supervised_paired_results.json,SAR 0.7354,P0 FATAL: wrong comparator + 'best' chosen by test winner (forbidden under Phase 0.6 audited-reanalysis policy),Remove 'best non-router' framing; in audited reanalysis use validation-frozen primary comparator; in any pre-declared registry the registry applies ONLY to Family D future replication cells.
C016,THESIS_CHAPTER_v1.tex:775,"At τ=0.66 the clean adaptation rate is 0.032",label-aligned (ELARA-Bench-LA),clean,craf_attention,adaptation_rate,0.032,docs/research/tables/elara_tau_sweep_results.tex (row 'clean & 0.66'),0.000,DRIFTED: prose vs regenerated table,Update prose to read 0.000 from current table; tau sweep is Family B4 descriptive-only in Phase 0.6.
C017,docs/research/tables/milestone2_cross_benchmark.tex,Real3D protocol label 'FPFH+depth supervised',Real3D-AD,FPFH+depth supervised,n/a,protocol_label,'FPFH+depth supervised',src/uais/data/real3d_fpfh.py,PCA shape statistics + pairwise-angle histogram + radial moments,STALE LABEL: descriptor no longer FPFH,Rename to 'PCA shape + depth supervised' in paper/thesis/emit scripts.
C018,docs/research/tables/gradient_adversarial.tex,FGSM/PGD table header,VisA,RGB+edge SP,fusion_head_adversarial,header_formatting,duplicate ε columns,emit_gradient_adversarial_table.py:render_table,no FGSM/PGD multicolumn header,FORMATTING: header ambiguous,Add \multicolumn{4}{c}{FGSM} \multicolumn{4}{c}{PGD} row in emit script.
C019,PAPER_DRAFT_v1.tex:2086-2088,"RGB domain ATE is -0.039 (95% bootstrap CI [-0.054 -0.024])",MVTec 3D-AD,PatchCore SP,interventional_ate_rgb,ATE,-0.039,experiments/fusion/mvtec3d_patchcore_supervised_paired_results.json (table_9_causal_attribution),(verify against current JSON),NEEDS VERIFICATION + reframing per C013,Re-read from artifact; reframe as model-response sensitivity not causal ATE.
C020,PAPER_DRAFT_v1.tex (multiple),seed counts described variably,multiple,multiple,all_seeds,n_seeds,'five seeds' / 'thirty seeds' / 'multi-seed' (varies),configs/*.yaml,30-seed for 4 cells; 5-seed for 7 cells,DRIFT: paper does not explicitly state per-cell seed counts,Add per-cell seed-count column; under Phase 0.6 seed-averaged predictions constitute an ensemble — must label accordingly.
C021,tables/mvtec3d_patchcore_*.tex (canonical) all PR/ECE/Brier values,"Reported PR-AUC ECE Brier for canonical cells",MVTec 3D-AD / MVTec LOCO-AD / VisA,all canonical one-class,all methods,PR_AUC + ECE + Brier,(various),experiments/fusion/*canonical*.json,(various — multiple show 0.78xx values incompatible with prevalence),P0 FATAL (retained from Phase 0.5): every canonical PR-AUC/ECE/Brier figure shares the semantics defect identified in C011,Block every canonical PR/ECE/Brier value pending audit_canonical_label_semantics.py output; replace with 'pending semantics audit'.
C022,PAPER_DRAFT_v1.tex (various polarity flip mentions),Polarity calibration is a deployment-grade sanity check,all,canonical primarily,static_attention + craf_attention,polarity_flip,'deployment-grade sanity check',src/scripts/run_breakthrough_experiment.py:535-586,validation-only synthetic-anomaly probe,REFRAME (Phase 0.6 LOCKED): no polarity flipping in primary metrics; diagnostic is validation-only score-orientation diagnostic; per-seed logs emitted but predictions not altered.,"Replace prose phrase 'deployment-grade sanity check' with 'validation-only score-orientation diagnostic'; remove flip from primary-prediction path for static / RGA; treat any orientation-corrected variant as a separately named method (e.g. RGA-orient)."
C023,STATISTICAL_ANALYSIS_POLICY.md (Phase 0.5),"Pre-registered confirmatory family for already-observed cells",all observed cells,all,n/a,inference_label,'confirmatory / pre-registered',(this audit file itself),audited reanalysis on previously inspected results,FRAMING DEFECT: a policy written after the result matrix is examined cannot honestly claim pre-registration on those results; Phase 0.6 corrects this.,Replace 'pre-registered' / 'confirmatory' with 'locked audited-reanalysis' / 'audited primary reanalysis' / 'audited inferential summary' for all already-observed cells; reserve 'pre-registered' and 'confirmatory' exclusively for Family D future replication.
C024,PAPER_DRAFT_v1.tex (Family B sweep references),"k-of-D + tau sweep + component ablation framed as confirmatory mechanism evidence",ELARA-Bench-LA,k-of-D / tau / ablation,RGA,sweep_significance,'mechanism confirmed',experiments/fusion/craf_real_k_domain_results.json + elara_tau_sweep_results.tex,multi-contrast sweeps with no pre-specified endpoint,FRAMING DEFECT: sweeps and ablations contain multiple inspected contrasts; no Holm-corrected significance claim is defensible from existing inspected results,"Under Phase 0.6: B1 (zero-attack tau=0.66) and B2 (max-attack tau=0.66) are audited mechanism endpoints; B3 (k-of-D), B4 (tau sweep), B5 (component ablation) are descriptive only — no Holm-corrected significance claim. Future mechanism replication may pre-specify exactly one zero-attack, one max-attack, optionally one no-KS ablation."
C025,(new — covers all already-observed master comparison rows),"'beats every baseline' / 'top method' phrasing for already-observed cells",MVTec / VisA / LOCO / UNSW / Real3D,all,RGA+,relative_ranking,'top method' / 'beats every baseline',milestone2_cross_benchmark.tex,seed-averaged ensemble ranking on inspected results,FRAMING DEFECT: relative-ranking claims rely on a baseline set inspected before the policy lock; relabel as 'audited inferential summary' not confirmatory superiority.,"Replace 'top method' / 'beats every baseline' with descriptive language: 'In the audited reanalysis the validation-frozen RGA+ head ranks at position X out of 8 baselines on the test fold; the audited inferential summary against the validation-frozen primary comparator is reported in Table Y.'"
