audit_id,category,subcategory,finding,severity,status,evidence_file,evidence_detail
A22,Overfitting,SwitchingCert,All supervised-paired protocols switching-certified (LCB > 0),INFO,CONFIRMED,switching_certificate_t5_audit.json,LCB range +0.037 to +0.102
A23,Statistics,MultipleTest,Holm K=5 applied to Family A primary cells only (corrected from K=9),INFO,CONFIRMED,claim_matrix.csv row M003,Family B/C/D descriptive only
A24,Statistics,Significance,Only UNSW-NB15 achieves Holm-corrected significance (p_Holm=6.7e-6),INFO,CONFIRMED,claim_matrix.csv row M006,Practical effect Δ=+0.0003 ROC-AUC (negligible)
A25,Statistics,Significance,MVTec LOCO SP and VisA SP lose significance under K=5 correction,INFO,CONFIRMED,claim_matrix.csv row M005,Were significant under K=9; corrected to n.s.
A26,Statistics,Significance,MVTec 3D-AD PC SP DeLong p=0.919 (not significant for specific comparator pair),INFO,CONFIRMED,claim_matrix.csv row M001,Switching cert LCB=+0.102 shows systematic benefit over static attention
A27,PaperCode,Consistency,Reliability formula matches paper Eq. 2 exactly,INFO,CONFIRMED,reliability_estimator.py + PAPER_DRAFT_v1.tex:line 600,Weights (0.45/0.35/0.20) confirmed in code
A28,PaperCode,Consistency,Baseline roster post-M012 matches code (EATA + SAR added),INFO,CONFIRMED,claim_matrix.csv M012 + baselines.py,8 baselines confirmed
A29,PaperCode,Consistency,Gate logic matches paper description,INFO,CONFIRMED,reliability_estimator.py:176-212,mean_fire = mean_r < threshold; paper threshold complement clarified
A30,PaperCode,Consistency,KS ablation numbers for ELARA-Bench-LA not directly verified from code,WARN,OPEN,Abstract cites +0.0506/+0.0319,ELARA-Bench-LA results JSON not read in this audit
A31,PaperCode,Consistency,Causal language removed (M008),INFO,CONFIRMED,claim_matrix.csv M008,SCM/do() language replaced with model-response sensitivity
A32,PaperCode,Consistency,PR/ECE/Brier omitted from canonical protocol cells (M009),INFO,CONFIRMED,claim_matrix.csv M009,Values equal base rate under one-class training; not discriminability metrics
A33,PaperCode,Consistency,Real3D-AD val-frozen RGA+ = router (not boost) with test AUC=0.534,INFO,CONFIRMED,claim_matrix.csv M007,Corrected from 0.566 to 0.534; now below TTT comparator (0.537)
A34,PaperCode,NomenClature,CRAF in code = RGA in paper; alias RGAReliabilityEstimator present,INFO,CONFIRMED,reliability_estimator.py:507,Explicit alias comment in source
A35,Reproducibility,DataPrep,All preparation scripts confirmed present and audited (except ELARA-Bench-LA),INFO,CONFIRMED,src/scripts/prepare_*.py,5 preparation scripts read
A36,Reproducibility,DataPrep,ELARA-Bench-LA preparation script not directly audited,WARN,OPEN,ELARA-Bench-LA secondary benchmark,Domain expert pkl files exist; full prep script not read
A37,Reproducibility,Results,Result JSON artifacts confirmed in experiments/fusion/,INFO,CONFIRMED,experiments/fusion/*.json,Result files present and parseable
A38,Reproducibility,Checkpoints,No PyTorch checkpoint files (.pt) exist in workspace,CRITICAL,OPEN,find command result,Models must be retrained to reproduce results
A39,Data,Size,Real3D-AD normal reference n=48 is very small for PCA + PatchCore,WARN,ACKNOWLEDGED,real3d_supervised_paired_metadata.json,Disclosed in metadata important_limitation
A40,Data,Size,MVTec 3D-AD 3226 samples / 8 categories confirmed,INFO,CONFIRMED,mvtec3d_patchcore_metadata.json,positive_fraction_actual=0.2244
